palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
COZAM,0.3539439,706,0.5859813,407,0.0591065,578
UNICA,0.3539065,707,0.3785047,1334,0.0427902,1867
BATEL,0.3538692,708,0.4590654,987,0.0482,1398
ACHOU,0.353757,709,0.2605607,1606,0.0287332,2789
ROMPE,0.353757,709,0.3998131,1254,0.0355226,2361
PREMO,0.353757,709,0.4390654,1081,0.035143,2385
POREM,0.353757,709,0.6050467,329,0.0478997,1422
GIROS,0.3537196,710,0.5639252,506,0.0430992,1844
SORVI,0.3536822,711,0.4676636,950,0.0388612,2134
FECAL,0.3536822,711,0.5080374,766,0.0536533,1008
SIRVO,0.3536822,711,0.5271028,678,0.0442254,1757
PIFAS,0.3536075,712,0.6214953,270,0.0594353,546
SOLTE,0.3535327,713,0.4878505,862,0.0384842,2156
LOTES,0.3535327,713,0.6198131,276,0.0506564,1180
ACHEM,0.3534953,714,0.3642991,1378,0.0367609,2283
CHAME,0.3534953,714,0.308972,1543,0.0259948,2894
MECHA,0.3534953,714,0.5065421,773,0.0539952,975
RUIMO,0.3533832,715,0.491028,848,0.0388168,2138
RIMOU,0.3533832,715,0.3642991,1378,0.0280209,2819
MIROU,0.3533832,715,0.4381308,1085,0.0331623,2527
LENDA,0.3532336,716,0.5495327,576,0.0544571,947
LUTAS,0.3531963,717,0.6239252,262,0.0569643,758
ESCOL,0.3530467,718,0.2011215,1628,0.0160937,3055
COLES,0.3530467,718,0.6880374,98,0.0532915,1029
LUCAS,0.3527103,719,0.6190654,279,0.0567408,780
SULCA,0.3527103,719,0.4943925,832,0.0467105,1536
PLANO,0.3526729,720,0.3850467,1308,0.0333446,2518
ENTRO,0.3526729,720,0.371028,1360,0.0310083,2668
TRENO,0.3526729,720,0.4142056,1190,0.0348632,2413
TANGO,0.3526729,720,0.5527103,560,0.0548893,918
TORNE,0.3526729,720,0.4790654,902,0.0404391,2033
NORTE,0.3526729,720,0.488972,859,0.0408424,2001
TERNO,0.3526729,720,0.5605607,524,0.0486888,1352
TENRO,0.3526729,720,0.5598131,527,0.0457752,1616
TENOR,0.3526729,720,0.4542056,1011,0.0350156,2398
AQUEM,0.3525981,721,0.3904673,1287,0.0382514,2173
