palavra_1,palavra_2,palavra_3,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
CLIPS,FUGAZ,RONDE,0.8465047,380,1.3362617,707,0.104698,1457
CLIPS,FUNDE,GOZAR,0.8465047,380,1.3336449,721,0.1039286,1515
CLIPS,GARFO,NUDEZ,0.8465047,380,1.3014953,849,0.1083843,1047
BRINS,PLUGO,VEXAM,0.8464673,381,1.3373832,701,0.1101784,803
CLIPS,FAVOR,NUDEZ,0.8464673,381,1.1828037,1174,0.0936901,1934
BRINS,PUXEM,VOGAL,0.8464673,381,1.3639252,593,0.1091086,952
CLIPS,FUNDE,VORAZ,0.8464673,381,1.4013084,428,0.1091449,946
BRINS,CHUVA,FOGEM,0.8464299,382,1.3405607,689,0.1074005,1171
BRINS,DEVAM,FLUXO,0.8464299,382,1.3153271,801,0.109636,874
BRINS,FLUXO,VEDAM,0.8464299,382,1.3345794,716,0.1100327,820
ADVEM,BRINS,FLUXO,0.8464299,382,1.166729,1197,0.0910174,1994
BREJO,CLIPS,DUNGA,0.8463178,383,1.2880374,899,0.1014833,1700
BUNDE,CLIPS,JOGAR,0.8463178,383,1.3166355,794,0.1036055,1540
BUNDA,CLIPS,JORGE,0.8463178,383,1.3585047,619,0.1071734,1206
BANJO,CLIPS,GRUDE,0.8463178,383,1.2758879,941,0.1010876,1721
CLIPS,FARTE,JUNHO,0.8462804,384,1.4037383,415,0.1083216,1054
CLIPS,FRETA,JUNHO,0.8462804,384,1.3319626,728,0.1031846,1580
BUNDE,CLIPS,GOZAR,0.8462056,385,1.3171963,792,0.1035893,1542
BENZO,CLIPS,GRUDA,0.8462056,385,1.3454206,669,0.1097373,859
BENZA,CLIPS,GRUDO,0.8462056,385,1.3454206,669,0.1097373,859
CLIPS,GARBO,NUDEZ,0.8462056,385,1.3106542,820,0.1085603,1021
BUNDE,CLIPS,VORAZ,0.8461682,386,1.3848598,502,0.1088056,989
CAPUZ,FILHO,TRENS,0.8461682,386,1.2300935,1071,0.0975766,1841
BRAVO,CLIPS,NUDEZ,0.8461682,386,1.1678505,1196,0.0863589,2091
BATER,CLIPS,JUNHO,0.8459813,387,1.3534579,638,0.1068807,1240
BRINS,CAPTE,JULHO,0.8459813,387,1.3435514,676,0.1049992,1426
BRETA,CLIPS,JUNHO,0.8459813,387,1.315514,800,0.1028454,1606
BRINS,FUJAM,GOLPE,0.8459065,388,1.3342056,718,0.1055512,1377
BRINS,CAPUZ,HOTEL,0.8458692,389,1.177757,1182,0.0995973,1778
BRINS,CAPUZ,TOLHE,0.8458692,389,1.2128972,1113,0.0976863,1837
CLIPS,GRAXO,JUNTE,0.8458318,390,1.1949533,1154,0.0851133,2122
BRINS,FAZEM,PLUGO,0.8457944,391,1.3179439,788,0.1050885,1419
CLIPS,JUNTO,VEXAR,0.8457944,391,1.3953271,453,0.1127644,513
BRINS,FUGAZ,VOTEM,0.845757,392,1.3914019,470,0.1103036,790
BRINS,FLUXO,MECHA,0.8456449,393,1.2880374,899,0.1078766,1110
ACHEM,BRINS,FLUXO,0.8456449,393,1.1457944,1225,0.0906423,2002
BRINS,CHAME,FLUXO,0.8456449,393,1.0904673,1263,0.0798762,2173
BRINS,CHEFA,DUPLO,0.8451589,394,1.2082243,1128,0.0990717,1797
BRINS,DUPLA,FECHO,0.8451589,394,1.3428037,679,0.1092988,920
BRINS,DUPLO,FECHA,0.8451589,394,1.3428037,679,0.1092988,920
CLIPS,FEROZ,JUNTA,0.8451215,395,1.3581308,621,0.106234,1299
CLIPS,JUNTO,REFAZ,0.8451215,395,1.3642991,591,0.1127621,515
CLIPS,FAZER,JUNTO,0.8451215,395,1.3758879,541,0.1076744,1129
CLIPS,FERAZ,JUNTO,0.8451215,395,1.4691589,159,0.1179721,102
CLIPS,FUNDE,GRAXO,0.8450093,396,1.2252336,1085,0.0847537,2129
CLIPS,FUNDO,VEXAR,0.844972,397,1.4256075,326,0.1124048,551
CLIPS,JUNTO,ZEBRA,0.8448224,398,1.3571963,624,0.1110929,699
CHOVI,JULGA,TRENS,0.8447477,399,1.0895327,1264,0.084504,2131
